2017P0010<>Asa Addison<>Martina Virginia<>585-771-0025<>585-771-3684<>mfglblir@hotmail.com<>tscbemrh@hotmail.com<>25 LENOX ST., Rochester, 14611
2017P0011<>Giles Humphrey<>Laura Gus<>585-771-0026<>585-771-4846<>tuoqhjur@hotmail.com<>hfsibtrh@hotmail.com<>528 FLINT ST, Rochester, 14611
2017P0012<>Will Lucia<>Shirley Lawrence<>585-771-0027<>585-771-4683<>vwdtjmku@hotmail.com<>tdlhgdfi@hotmail.com<>1320 clifford ave, Rochester, 14616
2017P0013<>Kennedy Dodd<>Natalie Craigie<>585-771-0028<>585-771-4612<>hgpvfqua@hotmail.com<>kkuqlrrk@hotmail.com<>12 Brooklyn Street, Rochester, 14613
2017P0014<>Darren Josh<>Eleanore Charles<>585-771-0029<>585-771-2986<>keggtwnf@hotmail.com<>chpekehs@hotmail.com<>77 Sparkling Dr, Rochester, 14616
2017P0015<>Bishop Toby<>Helen Isabel<>585-771-0030<>585-771-3583<>mepvaaic@hotmail.com<>keggtwnf@hotmail.com<>Mt. Read Blvd, Rochester, 14606



































